amount;amountInHomeCurrency;category;conversionRate;country;countryCode;datePaid;homeCurrency;localCurrency;notes;paidBy;paidFor;Utilisateur anonyme;paymentMethod;photo;place;latitude;longitude;type;numberOfDays;excludeFromAvg;addToBudget;categoryId;categoryIcon;categoryColor;paymentMethodId;paymentMethodIcon;paymentMethodColor;paidById;paidToId;splitObjects
"3,00";"2,59";"Activités";"1,157";"France";"FR";"21/03/2026";"EUR";"USD";"";"Utilisateur anonyme";"Utilisateur anonyme";"2,59";"En espèces";"";"";"";"";"Expense";"1";"false";"false";"rowing-false-d78ed35383108fb6c04c16d0a11b20fe";"rowing";"#E91E63";"payments-069b30db06d047a398f9eb0940d3279c";"payments";"#039BE5";"H8y5lmMVDDh36eZRtK5Ht0WvEwD2";"";"[{'share':3000,'shareInHomeCurrency':2590,'forTravelerId':'H8y5lmMVDDh36eZRtK5Ht0WvEwD2'}]"
"2,00";"1,73";"Boissons";"1,157";"France";"FR";"21/03/2026";"EUR";"USD";"";"Utilisateur anonyme";"Utilisateur anonyme";"1,73";"En espèces";"";"";"";"";"Expense";"1";"false";"false";"local_bar-false-0c96179df5834759b90ee5cb3834a365";"local_bar";"#673AB7";"payments-069b30db06d047a398f9eb0940d3279c";"payments";"#039BE5";"H8y5lmMVDDh36eZRtK5Ht0WvEwD2";"";"[{'share':2000,'shareInHomeCurrency':1730,'forTravelerId':'H8y5lmMVDDh36eZRtK5Ht0WvEwD2'}]"
"3,00";"2,59";"Restaurants";"1,157";"France";"FR";"21/03/2026";"EUR";"USD";"";"Utilisateur anonyme";"Utilisateur anonyme";"2,59";"En espèces";"";"";"";"";"Expense";"1";"false";"false";"restaurant-false-386c1f850fbd5f478fb4ef8a134c1740";"restaurant";"#009688";"payments-069b30db06d047a398f9eb0940d3279c";"payments";"#039BE5";"H8y5lmMVDDh36eZRtK5Ht0WvEwD2";"";"[{'share':3000,'shareInHomeCurrency':2590,'forTravelerId':'H8y5lmMVDDh36eZRtK5Ht0WvEwD2'}]"
"0,25";"0,22";"Courses";"1,157";"France";"FR";"21/03/2026";"EUR";"USD";"";"Utilisateur anonyme";"Utilisateur anonyme";"0,22";"En espèces";"";"";"";"";"Expense";"1";"false";"false";"shopping_cart-false-7c3765bf72361083d820071fb21308a9";"shopping_cart";"#039BE5";"payments-069b30db06d047a398f9eb0940d3279c";"payments";"#039BE5";"H8y5lmMVDDh36eZRtK5Ht0WvEwD2";"";"[{'share':250,'shareInHomeCurrency':220,'forTravelerId':'H8y5lmMVDDh36eZRtK5Ht0WvEwD2'}]"
"4,75";"4,11";"Restaurants";"1,157";"France";"FR";"21/03/2026";"EUR";"USD";"";"Utilisateur anonyme";"Utilisateur anonyme";"4,11";"En espèces";"";"";"";"";"Expense";"1";"false";"false";"restaurant-false-386c1f850fbd5f478fb4ef8a134c1740";"restaurant";"#009688";"payments-069b30db06d047a398f9eb0940d3279c";"payments";"#039BE5";"H8y5lmMVDDh36eZRtK5Ht0WvEwD2";"";"[{'share':4750,'shareInHomeCurrency':4110,'forTravelerId':'H8y5lmMVDDh36eZRtK5Ht0WvEwD2'}]"
"7,00";"6,05";"Boissons";"1,157";"France";"FR";"20/03/2026";"EUR";"USD";"";"Utilisateur anonyme";"Utilisateur anonyme";"6,05";"En espèces";"";"";"";"";"Expense";"1";"false";"false";"local_bar-false-0c96179df5834759b90ee5cb3834a365";"local_bar";"#673AB7";"payments-069b30db06d047a398f9eb0940d3279c";"payments";"#039BE5";"H8y5lmMVDDh36eZRtK5Ht0WvEwD2";"";"[{'share':7000,'shareInHomeCurrency':6050,'forTravelerId':'H8y5lmMVDDh36eZRtK5Ht0WvEwD2'}]"
"10,50";"9,14";"Restaurants";"1,149";"France";"FR";"20/03/2026";"EUR";"USD";"";"Utilisateur anonyme";"Utilisateur anonyme";"9,14";"En espèces";"";"";"";"";"Expense";"1";"false";"false";"restaurant-false-386c1f850fbd5f478fb4ef8a134c1740";"restaurant";"#009688";"payments-069b30db06d047a398f9eb0940d3279c";"payments";"#039BE5";"H8y5lmMVDDh36eZRtK5Ht0WvEwD2";"";"[{'share':10500,'shareInHomeCurrency':9140,'forTravelerId':'H8y5lmMVDDh36eZRtK5Ht0WvEwD2'}]"
"1,60";"1,39";"Courses";"1,149";"France";"FR";"20/03/2026";"EUR";"USD";"";"Utilisateur anonyme";"Utilisateur anonyme";"1,39";"En espèces";"";"";"";"";"Expense";"1";"false";"false";"shopping_cart-false-7c3765bf72361083d820071fb21308a9";"shopping_cart";"#039BE5";"payments-069b30db06d047a398f9eb0940d3279c";"payments";"#039BE5";"H8y5lmMVDDh36eZRtK5Ht0WvEwD2";"";"[{'share':1600,'shareInHomeCurrency':1390,'forTravelerId':'H8y5lmMVDDh36eZRtK5Ht0WvEwD2'}]"
"3,00";"2,61";"Restaurants";"1,149";"France";"FR";"20/03/2026";"EUR";"USD";"";"Utilisateur anonyme";"Utilisateur anonyme";"2,61";"En espèces";"";"";"";"";"Expense";"1";"false";"false";"restaurant-false-386c1f850fbd5f478fb4ef8a134c1740";"restaurant";"#009688";"payments-069b30db06d047a398f9eb0940d3279c";"payments";"#039BE5";"H8y5lmMVDDh36eZRtK5Ht0WvEwD2";"";"[{'share':3000,'shareInHomeCurrency':2610,'forTravelerId':'H8y5lmMVDDh36eZRtK5Ht0WvEwD2'}]"
"1,00";"0,87";"Tourisme";"1,149";"France";"FR";"20/03/2026";"EUR";"USD";"";"Utilisateur anonyme";"Utilisateur anonyme";"0,87";"En espèces";"";"";"";"";"Expense";"1";"false";"false";"museum-false-15ef303b96502f06a5f0095002a87cf8";"museum";"#8BC34A";"payments-069b30db06d047a398f9eb0940d3279c";"payments";"#039BE5";"H8y5lmMVDDh36eZRtK5Ht0WvEwD2";"";"[{'share':1000,'shareInHomeCurrency':870,'forTravelerId':'H8y5lmMVDDh36eZRtK5Ht0WvEwD2'}]"
