amount;amountInHomeCurrency;category;conversionRate;country;countryCode;datePaid;homeCurrency;localCurrency;notes;paidBy;paidFor;Utilisateur anonyme;paymentMethod;photo;place;latitude;longitude;type;numberOfDays;excludeFromAvg;addToBudget;categoryId;categoryIcon;categoryColor;paymentMethodId;paymentMethodIcon;paymentMethodColor;paidById;paidToId;splitObjects
"10,00";"10,00";"Transport";"1";"France";"FR";"03/04/2026";"EUR";"EUR";"";"Utilisateur anonyme";"Utilisateur anonyme";"10,00";"En espèces";"";"";"";"";"Expense";"1";"false";"false";"train-false-a600971fdd23ea1f5685d7ee01d5f5c3";"train";"#EF6C00";"payments-069b30db06d047a398f9eb0940d3279c";"payments";"#039BE5";"H8y5lmMVDDh36eZRtK5Ht0WvEwD2";"";"[{'share':10000,'shareInHomeCurrency':10000,'forTravelerId':'H8y5lmMVDDh36eZRtK5Ht0WvEwD2'}]"
"5,80";"5,80";"Restaurants";"1";"France";"FR";"02/04/2026";"EUR";"EUR";"";"Utilisateur anonyme";"Utilisateur anonyme";"5,80";"En espèces";"";"";"";"";"Expense";"1";"false";"false";"restaurant-false-386c1f850fbd5f478fb4ef8a134c1740";"restaurant";"#009688";"payments-069b30db06d047a398f9eb0940d3279c";"payments";"#039BE5";"H8y5lmMVDDh36eZRtK5Ht0WvEwD2";"";"[{'share':5800,'shareInHomeCurrency':5800,'forTravelerId':'H8y5lmMVDDh36eZRtK5Ht0WvEwD2'}]"
"6,00";"6,00";"Restaurants";"1";"France";"FR";"01/04/2026";"EUR";"EUR";"";"Utilisateur anonyme";"Utilisateur anonyme";"6,00";"En espèces";"";"";"";"";"Expense";"1";"false";"false";"restaurant-false-386c1f850fbd5f478fb4ef8a134c1740";"restaurant";"#009688";"payments-069b30db06d047a398f9eb0940d3279c";"payments";"#039BE5";"H8y5lmMVDDh36eZRtK5Ht0WvEwD2";"";"[{'share':6000,'shareInHomeCurrency':6000,'forTravelerId':'H8y5lmMVDDh36eZRtK5Ht0WvEwD2'}]"
"5,00";"5,00";"Restaurants";"1";"France";"FR";"01/04/2026";"EUR";"EUR";"";"Utilisateur anonyme";"Utilisateur anonyme";"5,00";"En espèces";"";"";"";"";"Expense";"1";"false";"false";"restaurant-false-386c1f850fbd5f478fb4ef8a134c1740";"restaurant";"#009688";"payments-069b30db06d047a398f9eb0940d3279c";"payments";"#039BE5";"H8y5lmMVDDh36eZRtK5Ht0WvEwD2";"";"[{'share':5000,'shareInHomeCurrency':5000,'forTravelerId':'H8y5lmMVDDh36eZRtK5Ht0WvEwD2'}]"
"8,00";"8,00";"Restaurants";"1";"France";"FR";"31/03/2026";"EUR";"EUR";"";"Utilisateur anonyme";"Utilisateur anonyme";"8,00";"En espèces";"";"";"";"";"Expense";"1";"false";"false";"restaurant-false-386c1f850fbd5f478fb4ef8a134c1740";"restaurant";"#009688";"payments-069b30db06d047a398f9eb0940d3279c";"payments";"#039BE5";"H8y5lmMVDDh36eZRtK5Ht0WvEwD2";"";"[{'share':8000,'shareInHomeCurrency':8000,'forTravelerId':'H8y5lmMVDDh36eZRtK5Ht0WvEwD2'}]"
"6,00";"6,00";"Restaurants";"1";"France";"FR";"30/03/2026";"EUR";"EUR";"";"Utilisateur anonyme";"Utilisateur anonyme";"6,00";"En espèces";"";"";"";"";"Expense";"1";"false";"false";"restaurant-false-386c1f850fbd5f478fb4ef8a134c1740";"restaurant";"#009688";"payments-069b30db06d047a398f9eb0940d3279c";"payments";"#039BE5";"H8y5lmMVDDh36eZRtK5Ht0WvEwD2";"";"[{'share':6000,'shareInHomeCurrency':6000,'forTravelerId':'H8y5lmMVDDh36eZRtK5Ht0WvEwD2'}]"
"16,00";"16,00";"Tourisme";"1";"France";"FR";"29/03/2026";"EUR";"EUR";"";"Utilisateur anonyme";"Utilisateur anonyme";"16,00";"En espèces";"";"";"";"";"Expense";"1";"false";"false";"museum-false-15ef303b96502f06a5f0095002a87cf8";"museum";"#8BC34A";"payments-069b30db06d047a398f9eb0940d3279c";"payments";"#039BE5";"H8y5lmMVDDh36eZRtK5Ht0WvEwD2";"";"[{'share':16000,'shareInHomeCurrency':16000,'forTravelerId':'H8y5lmMVDDh36eZRtK5Ht0WvEwD2'}]"
"19,50";"19,50";"Transport";"1";"France";"FR";"29/03/2026";"EUR";"EUR";"";"Utilisateur anonyme";"Utilisateur anonyme";"19,50";"En espèces";"";"";"";"";"Expense";"1";"false";"false";"train-false-a600971fdd23ea1f5685d7ee01d5f5c3";"train";"#EF6C00";"payments-069b30db06d047a398f9eb0940d3279c";"payments";"#039BE5";"H8y5lmMVDDh36eZRtK5Ht0WvEwD2";"";"[{'share':19500,'shareInHomeCurrency':19500,'forTravelerId':'H8y5lmMVDDh36eZRtK5Ht0WvEwD2'}]"
"56,50";"56,50";"Restaurants";"1";"France";"FR";"28/03/2026";"EUR";"EUR";"";"Utilisateur anonyme";"Utilisateur anonyme";"56,50";"En espèces";"";"";"";"";"Expense";"1";"false";"false";"restaurant-false-386c1f850fbd5f478fb4ef8a134c1740";"restaurant";"#009688";"payments-069b30db06d047a398f9eb0940d3279c";"payments";"#039BE5";"H8y5lmMVDDh36eZRtK5Ht0WvEwD2";"";"[{'share':56500,'shareInHomeCurrency':56500,'forTravelerId':'H8y5lmMVDDh36eZRtK5Ht0WvEwD2'}]"
"3,50";"3,50";"Restaurants";"1";"France";"FR";"27/03/2026";"EUR";"EUR";"";"Utilisateur anonyme";"Utilisateur anonyme";"3,50";"En espèces";"";"";"";"";"Expense";"1";"false";"false";"restaurant-false-386c1f850fbd5f478fb4ef8a134c1740";"restaurant";"#009688";"payments-069b30db06d047a398f9eb0940d3279c";"payments";"#039BE5";"H8y5lmMVDDh36eZRtK5Ht0WvEwD2";"";"[{'share':3500,'shareInHomeCurrency':3500,'forTravelerId':'H8y5lmMVDDh36eZRtK5Ht0WvEwD2'}]"
"3,50";"3,50";"Restaurants";"1";"France";"FR";"26/03/2026";"EUR";"EUR";"";"Utilisateur anonyme";"Utilisateur anonyme";"3,50";"En espèces";"";"";"";"";"Expense";"1";"false";"false";"restaurant-false-386c1f850fbd5f478fb4ef8a134c1740";"restaurant";"#009688";"payments-069b30db06d047a398f9eb0940d3279c";"payments";"#039BE5";"H8y5lmMVDDh36eZRtK5Ht0WvEwD2";"";"[{'share':3500,'shareInHomeCurrency':3500,'forTravelerId':'H8y5lmMVDDh36eZRtK5Ht0WvEwD2'}]"
"11,45";"11,45";"Courses";"1";"France";"FR";"26/03/2026";"EUR";"EUR";"";"Utilisateur anonyme";"Utilisateur anonyme";"11,45";"En espèces";"";"";"";"";"Expense";"1";"false";"false";"shopping_cart-false-7c3765bf72361083d820071fb21308a9";"shopping_cart";"#039BE5";"payments-069b30db06d047a398f9eb0940d3279c";"payments";"#039BE5";"H8y5lmMVDDh36eZRtK5Ht0WvEwD2";"";"[{'share':11450,'shareInHomeCurrency':11450,'forTravelerId':'H8y5lmMVDDh36eZRtK5Ht0WvEwD2'}]"
"3,50";"3,50";"Restaurants";"1";"France";"FR";"25/03/2026";"EUR";"EUR";"";"Utilisateur anonyme";"Utilisateur anonyme";"3,50";"En espèces";"";"";"";"";"Expense";"1";"false";"false";"restaurant-false-386c1f850fbd5f478fb4ef8a134c1740";"restaurant";"#009688";"payments-069b30db06d047a398f9eb0940d3279c";"payments";"#039BE5";"H8y5lmMVDDh36eZRtK5Ht0WvEwD2";"";"[{'share':3500,'shareInHomeCurrency':3500,'forTravelerId':'H8y5lmMVDDh36eZRtK5Ht0WvEwD2'}]"
"15,50";"15,50";"Courses";"1";"France";"FR";"25/03/2026";"EUR";"EUR";"";"Utilisateur anonyme";"Utilisateur anonyme";"15,50";"En espèces";"";"";"";"";"Expense";"1";"false";"false";"shopping_cart-false-7c3765bf72361083d820071fb21308a9";"shopping_cart";"#039BE5";"payments-069b30db06d047a398f9eb0940d3279c";"payments";"#039BE5";"H8y5lmMVDDh36eZRtK5Ht0WvEwD2";"";"[{'share':15500,'shareInHomeCurrency':15500,'forTravelerId':'H8y5lmMVDDh36eZRtK5Ht0WvEwD2'}]"
"3,80";"3,80";"Restaurants";"1";"France";"FR";"25/03/2026";"EUR";"EUR";"";"Utilisateur anonyme";"Utilisateur anonyme";"3,80";"En espèces";"";"";"";"";"Expense";"1";"false";"false";"restaurant-false-386c1f850fbd5f478fb4ef8a134c1740";"restaurant";"#009688";"payments-069b30db06d047a398f9eb0940d3279c";"payments";"#039BE5";"H8y5lmMVDDh36eZRtK5Ht0WvEwD2";"";"[{'share':3800,'shareInHomeCurrency':3800,'forTravelerId':'H8y5lmMVDDh36eZRtK5Ht0WvEwD2'}]"
"8,23";"8,23";"Courses";"1";"France";"FR";"24/03/2026";"EUR";"EUR";"";"Utilisateur anonyme";"Utilisateur anonyme";"8,23";"En espèces";"";"";"";"";"Expense";"1";"false";"false";"shopping_cart-false-7c3765bf72361083d820071fb21308a9";"shopping_cart";"#039BE5";"payments-069b30db06d047a398f9eb0940d3279c";"payments";"#039BE5";"H8y5lmMVDDh36eZRtK5Ht0WvEwD2";"";"[{'share':8230,'shareInHomeCurrency':8230,'forTravelerId':'H8y5lmMVDDh36eZRtK5Ht0WvEwD2'}]"
